Box,Id,Type,Title,Author,Author2,Date,Location,Nb,People,Geo
3,150,Letters,Carta del 08 de noviembre de 1859 de Cornelio Saavedera a Mauricio Barbosa,"Saavedra, Cornelio",,1859/11/08,,1,"Barbosa, Mauricio",
3,151,Letters,Carta del 13 de noviembre de 1859 de Cornelio Saavedra a Mauricio Barbosa,"Saavedra, Cornelio",,1859/11/13,Chile;Quinta Región;Valparaíso,2,"Barbosa, Mauricio",
3,152,Letters,Carta del 13 de noviembre de 1859 de Cornelio Saavedra a Mauricio Barbosa,"Saavedra, Cornelio",,1859/11/13,Chile;Quinta Región;Valparaíso,1,"Barbosa, Mauricio",
3,153,Others,Relación de los pertrechos de guerra que se han embarcado para el ejército de Operaciones del Sur,"Valdivieso, Samuel",,1859/11/13,Chile;Quinta Región;Valparaíso,1,,
3,154,Letters,Carta del 15 de noviembre de 1859 de José Antonio Quezada a Mauricio Barbosa,"Quezada, José Antonio",,1859/11/15,Chile;Octava Región;Arauco,1,"Barbosa, Mauricio",
3,155,Letters,Carta del 16 de noviembre de 1859 de Aniceto Cordovez a Mauricio Barbosa,"Cordovez, Aniceto",,1859/11/16,Chile;Octava Región;Concepción,1,"Barbosa, Mauricio",
3,156,Letters,Carta del 16 de noviembre de 1859 de Cornelio Saavedra a Mauricio Barbosa,"Saavedra, Cornelio",,1859/11/16,Chile;Quinta Región;Valparaíso,1,"Barbosa, Mauricio",
3,157,Letters,Carta del 19 de noviembre de 1859 de Manuel Escala a Mauricio Barbosa,"Escala, Manuel Segundo",,1859/11/19,Chile;Octava Región;Arauco,1,"Barbosa, Mauricio",
3,158,Letters,Carta del 19 de noviembre de 1859 de Aniceto Cordovez a Mauricio Barbosa,"Cordovez, Aniceto",,1859/11/19,Chile;Octava Región;Concepción,1,"Barbosa, Mauricio",
3,159,Letters,Carta del 21 de noviembre de 1859 de Cornelio Saavedra a Mauricio Barbosa,"Saavedra, Cornelio",,1859/11/21,Chile;Quinta Región;Valparaíso,1,"Barbosa, Mauricio",
3,160,Letters,Carta del 24 de noviembre de 1859 de Cornelio Saavedra a Manuel Pomar,"Saavedra, Cornelio",,1859/11/24,Chile;Quinta Región;Valparaíso,1,"Pomar, Manuel",
3,161,Letters,Carta del 24 de noviembre de 1859 de Cornelio Saavedra a Mauricio Barbosa,"Saavedra, Cornelio",,1859/11/24,Chile;Quinta Región;Valparaíso,1,"Barbosa, Mauricio",
3,162,Letters,Carta del 24 de noviembre de 1859 de Aniceto Cordovez a Mauricio Barbosa,"Cordovez, Aniceto",,1859/11/24,Chile;Octava Región;Concepción,1,"Barbosa, Mauricio",
3,163,Letters,Carta del 24 de noviembre de 1859 de Manuel Segundo Escala a Mauricio Barbosa,"Escala, Manuel Segundo",,1859/11/24,Chile;Región Metropolitana;Santiago,1,"Barbosa, Mauricio",
3,164,Letters,Carta del 25 de noviembre de 1859 de Manuel Segundo Escala a Mauricio Barbosa,"Escala, Manuel Segundo",,1859/11/25,Chile;Octava Región;Arauco,1,"Barbosa, Mauricio",
